WSI,NAME,LNG,LAT
0-203-0-10903164001,"Maršovice, Zahrádka",14.5886,49.7325
0-203-0-10904008001,Mníšek pod Brdy,14.2625,49.8694
0-203-0-10904013001,"Praha, Komořany",14.40636,49.9886
0-203-0-11001016001,Tachov,12.623135,49.798357
0-203-0-11001044001,Planá,12.735097,49.870952
0-203-0-11001058001,Tři Sekery,12.616463,49.943647
0-203-0-11001085001,Víchov,12.945816,49.79351
0-203-0-11001107001,"Staré Sedlo, Darmyšl",12.878357,49.639765
0-203-0-11001110001,Bor,12.770725,49.710653
0-203-0-11001141001,Úterý,13.001143,49.938609
0-203-0-11001177001,Úlice,13.143405,49.759189
0-203-0-11001186001,"Plzeň, Radčice",13.323199,49.765499
0-203-0-11002020001,"Trhanov, Chodov",12.83535,49.41688
0-203-0-11002027001,Pivoň,12.741932,49.490754
0-203-0-11002037001,Horšovský Týn,12.943746,49.528213
0-203-0-11002055001,Kdyně,13.045733,49.393642
0-203-0-11002084001,Stod,13.166901,49.639696
0-203-0-11002086001,Chudenice,13.176262,49.465405
0-203-0-11002097001,Dnešice,13.269301,49.601994
0-203-0-11003009001,Nýrsko,13.135924,49.290206
0-203-0-11003028001,Strážov,13.246905,49.30562
0-203-0-11003072001,Lužany,13.317522,49.54908
0-203-0-11003082001,Netunice,13.432035,49.61559
0-203-0-11005008001,"Lovčice, Kvasetice",13.493545,49.402384
0-203-0-11005011001,Žinkovy,13.491503,49.486555
0-203-0-11005023001,Životice,13.681495,49.470036
0-203-0-11005040001,Seč,13.506002,49.587397
0-203-0-11005046001,"Borovno, Míšov",13.727867,49.623944
0-203-0-11005050001,Spálené Poříčí,13.604538,49.615175
0-203-0-11005051001,Nezvěstice,13.528521,49.635765
0-203-0-11101013001,Strašice,13.753217,49.742781
0-203-0-11101016001,Dobřív,13.689215,49.717616
0-203-0-11101025001,"Holoubkov, Medový Újezd",13.71137,49.77498
0-203-0-11101031001,Rokycany,13.602353,49.751692
0-203-0-11101047001,"Úněšov, Číhaná",13.128163,49.894104
0-203-0-11101055001,"Horní Bělá, Vrtbo",13.248312,49.884347
0-203-0-11101060001,Hromnice,13.445309,49.848142
0-203-0-11102023001,Žlutice,13.160412,50.09822
0-203-0-11102028001,Verušičky,13.172377,50.140984
0-203-0-11102036001,Bezvěrov,13.054363,49.993664
0-203-0-11102044001,Manětín,13.22757,49.992466
0-203-0-11102069001,Plasy,13.382176,49.933074
0-203-0-11102088001,Liblín,13.5451,49.916487
0-203-0-11102119001,"Slabce, Modřejovice",13.690636,49.992453
0-203-0-11102135001,Terešov,13.707071,49.901862
0-203-0-11102153001,Karlova Ves,13.861277,49.990212
0-203-0-11103001001,Oráčov,13.54839,50.10814
0-203-0-11103015001,Rakovník,13.738651,50.099245
0-203-0-11103017001,Kounov,13.672193,50.214902
0-203-0-11103043001,Křivoklát,13.8808,50.0381
0-203-0-11103045001,Nové Strašecí,13.8942,50.1456
0-203-0-11103049001,Zbečno,13.935,50.0614
0-203-0-11103064001,Beroun,14.0642,49.9711
0-203-0-111040030,Podlesí,13.9806,49.6897
0-203-0-11104016001,Rpety,13.9369,49.8272
0-203-0-11104026001,"Hvozdec, Mrtník",13.872083,49.798186
0-203-0-11104046001,Zdice,13.9714,49.9108
0-203-0-11104051001,Hudlice,13.96477,49.96121
0-203-0-11105027001,Loděnice,14.1567,49.9964
0-203-0-11105036001,Liteň,14.1506,49.9033
0-203-0-11105048001,"Praha, Zadní Kopanina",14.3178,50.0072
0-203-0-11201018001,Průhonice,14.561121,50.007829
0-203-0-11201020001,"Praha, Vinohrady - Flora",14.46186,50.07584
0-203-0-11201020003,"Praha, Chodov",14.5,50.0294
0-203-0-11201024001,"Praha, Břevnov",14.352689,50.080843
0-203-0-11201026001,Říčany,14.6717,50.0003
0-203-0-11202007001,"Praha, Suchdol",14.3906,50.1436
0-203-0-11202034001,Koleč,14.2377,50.1991
0-203-0-11202066001,Zlonice,14.086873,50.283586
0-203-0-11202078001,Slaný,14.090481,50.236779
0-203-0-11203009001,"Vysoká, Bosyně",14.5482556,50.4165833
0-203-0-11203017001,Hořín,14.465,50.3422
0-203-0-11203020001,"Dubá, Nedamov",14.555594,50.536399
0-203-0-11203039001,Roudnice nad Labem,14.24917,50.42731
0-203-0-11301018001,Hazlov,12.270389,50.159224
0-203-0-11301046001,Luby,12.400238,50.256881
0-203-0-11301059001,Starý Hrozňatov,12.389416,50.025396
0-203-0-11301082001,"Kynžvart, Lazy",12.62322,50.05
0-203-0-11301086001,Habartov,12.54853,50.180156
0-203-0-11301092001,Sokolov,12.639266,50.176985
0-203-0-11301106001,Přebuz,12.615467,50.37246
0-203-0-11301117001,Oloví,12.559014,50.24589
0-203-0-11301161001,Nejdek,12.715486,50.335684
0-203-0-11302015001,Bečov nad Teplou,12.836679,50.0824
0-203-0-11302052001,"Šemnice, Radošov",12.994221,50.277061
0-203-0-11302057001,Abertamy,12.816447,50.367742
0-203-0-11302082001,Stráž nad Ohří,13.051677,50.338823
0-203-0-11302113001,Výsluní,13.23853,50.46428
0-203-0-11303017001,Mašťov,13.2828,50.2608
0-203-0-11303060001,"Velečín, Pastuchovice",13.38189,50.07036
0-203-0-11303078001,Velká Černoc,13.58406,50.20283
0-203-0-11303100001,Hřivice,13.732,50.292153
0-203-0-11303111001,Křimov,13.31453,50.499
0-203-0-11303115902,Chomutov,13.39711,50.46225
0-203-0-11304017001,Cítoliby,13.8164,50.3361
0-203-0-11304028001,Peruc,13.9542,50.3386
0-203-0-11304041001,"Libochovice, Poplze",14.04575,50.39983
0-203-0-11304046001,Dlažkovice,13.95222,50.47
0-203-0-11304061001,Straškov-Vodochody,14.255,50.36389
0-203-0-11305002001,Litoměřice,14.140687,50.543229
0-203-0-11305010001,Milešov,13.94231,50.53642
0-203-0-11401,Aš,12.179572,50.220602
0-203-0-11401004201,Boleboř,13.415082,50.537395
0-203-0-11401020001,Klíny,13.55153,50.63875
0-203-0-11401043001,"Měrunice, Žichov",13.79031,50.47908
0-203-0-11401047001,Lukov,13.883763,50.527833
0-203-0-11401048001,Bílina,13.775657,50.539526
0-203-0-11401056001,"Hrob, Křižanov",13.71953,50.654
0-203-0-11401094001,"Telnice, Varvažov",13.964611,50.725083
0-203-0-11401097301,Dubí,13.80214,50.68056
0-203-0-11402017001,"Děčín, Těchlovice",14.20433,50.69783
0-203-0-11402027001,Tisá,14.02167,50.78694
0-203-0-11402030001,Jílové,14.10183,50.76642
0-203-0-11403005001,Křižany,14.907056,50.738722
0-203-0-11403025001,Mimoň,14.72494,50.65975
0-203-0-11403041001,Mařenice,14.676,50.80967
0-203-0-11403051001,Nový Bor,14.55719,50.75
0-203-0-11403070002,Verneřice,14.30492,50.65789
0-203-0-11403079001,Zahrádky,14.51467,50.61428
0-203-0-11403086001,"Žandov, Horní Police",14.403417,50.708083
0-203-0-11405003001,Česká Kamenice,14.44361,50.80333
0-203-0-11405014001,"Chřibská, Horní Chřibská",14.52456,50.85289
0-203-0-11408,"Šindelová, Obora",12.597466,50.317449
0-203-0-11410,Dyleň,12.502849,49.968079
0-203-0-11413,"Mariánské Lázně, vodárna",12.695966,49.990619
0-203-0-11415,Karlovy Vary,12.878151,50.227229
0-203-0-11417,Krásné Údolí,12.920958,50.071286
0-203-0-11419,Konstantinovy Lázně,12.975956,49.884787
0-203-0-11420,Klínovec,12.967957,50.3948
0-203-0-11428,Domažlice,12.922385,49.444716
0-203-0-11430,Měděnec,13.13256,50.42936
0-203-0-11432,Nová Ves v Horách,13.48561,50.59244
0-203-0-11439,Strojetice,13.47694,50.17378
0-203-0-11442,Kralovice,13.494007,49.981823
0-203-0-11444,Heřmanov,13.57133,50.148529
0-203-0-11446,"Plzeň, Bolevec",13.386411,49.788378
0-203-0-11447,Stříbro,12.981105,49.752524
0-203-0-11451,Staňkov,13.067369,49.552537
0-203-0-11453,Hojsova Stráž,13.197146,49.212473
0-203-0-11454,Libkov,13.135593,49.366344
0-203-0-11455,Klatovy,13.303016,49.39042
0-203-0-11461,Teplice,13.836344,50.645153
0-203-0-11465,Smolnice,13.85617,50.30872
0-203-0-11468,Žatec,13.54319,50.34147
